Station,Latitude,Longitude,,,
MRT กระทรวงสาธารณสุข,13.848567,100.514765,,,
MRT กำแพงเพชร,13.7980748,100.5487958,,,
MRT คลองเตย,13.7322393,100.5597467,,,
MRT คลองบางไผ่,13.8923533,100.4082562,,,
MRT จรัญฯ 13,13.740184,100.470797,,,MRT Phasi Charoen Station สถานีภาษีเจริญ BL36
MRT ตลาดบางใหญ่,13.8811352,100.4092518,,,
MRT เตาปูน,13.8061278,100.530761,,,
MRT ท่าพระ,13.729653,100.474163,,,
MRT ไทรม้า,13.9715519,100.5735412,,,
MRT บางกระสอ,13.8616987,100.502456,,,
MRT บางขุนนนท์,13.763349,100.47343,,,
MRT บางแค,13.709784,100.415792,,,Fai Chai
MRT บางซ่อน,13.8202164,100.5303277,,,
MRT บางซื่อ,13.8016408,100.5428202,,,
MRT บางไผ่,13.7246102,100.4651299,,,
MRT บางพลัด,13.7845903,100.4945447,,,
MRT บางพลู,13.8758129,100.4338633,,,
MRT บางโพ,13.8063987,100.520816,,,
MRT บางยี่ขัน,13.7774358,100.4852436,,,
MRT บางรักน้อย-ท่าอิฐ,13.8749453,100.4560564,,,
MRT บางรักใหญ่,13.876655,100.4449102,,,
MRT บางหว้า,13.7201422,100.4570328,,,
MRT บางอ้อ,13.7601366,100.5659859,,,
MRT พระราม 9,13.7577699,100.5651878,,,
MRT พหลโยธิน,13.8142366,100.5601484,,,
MRT เพชรเกษม 48,13.7154482,100.445344,,,
MRT เพชรบุรี,13.7485804,100.5631017,,,
MRT ไฟฉาย,13.7557337,100.4694352,,,
MRT ภาษีเจริญ,13.7128821,100.4320828,,,
MRT แยกติวานนท์,13.8396478,100.5148402,,,
MRT แยกนนทบุรี 1,13.8660338,100.4940523,,,
MRT รัชดาภิเษก,13.7983504,100.5743806,,,
MRT ลาดพร้าว,13.8061735,100.5732861,,,
MRT ลุมพินี,13.7253968,100.5460606,,,
MRT วงศ์สว่าง,13.829155,100.5273737,,,
MRT วัดมังกร,13.74204,100.510076,,,
MRT ศูนย์การประชุมแห่งชาติสิริกิติ์,13.7231519,100.5601019,,,
MRT ศูนย์ราชการนนทบุรี,13.8601476,100.5132409,,,
MRT ศูนย์วัฒนธรรมแห่งประเทศไทย,13.7658344,100.5700137,,,
MRT สนามไชย,13.743859,100.49466,,,
MRT สวนจตุจักร,13.8027214,100.5538505,,,
MRT สะพานพระนั่งเกล้า,13.870313,100.4803639,,,
MRT สามยอด,13.7471896,100.5022359,,,
MRT สามย่าน,13.7340815,100.5288138,,,
MRT สามแยกบางใหญ่,13.8747385,100.4195113,,,
MRT สิรินธร,13.7839593,100.4938833,,,
MRT สีลม,13.7292504,100.5365446,,,
MRT สุขุมวิท,13.7385266,100.5614475,,,
MRT สุทธิสาร,13.7898476,100.5741786,,,
MRT หลักสอง,13.7089436,100.3852823,,,
MRT ห้วยขวาง,13.7758639,100.5735263,,,
MRT หัวลำโพง,13.7378472,100.5171723,,,
MRT อิสรภาพ,13.7383191,100.4852881,,,
